row_id,chemical_id,smiles,assay_id,endpoint,relation,value,unit,source_activity_id,source_document,source_year,pchembl_export,potential_duplicate,data_validity,record_origin
ACT-0023,CHEMBL5899535,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C4CC(O)C4)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,20.4,nM,28327262,CHEMBL5728430,2021,7.69,0,,public_measurement_reformatted
ACT-0024,CHEMBL5941223,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1CCC(C)CC1,CHEMBL5736732,IC50,=,65.5,nM,28327280,CHEMBL5728430,2021,7.18,1,,public_measurement_reformatted
ACT-0025,CHEMBL5970937,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CCC(C)CC6)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,89.7,nM,28327289,CHEMBL5728430,2021,7.05,1,,public_measurement_reformatted
ACT-0026,CHEMBL5943083,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCC(C)CC1,CHEMBL5736732,IC50,=,8.76e-08,M,28327298,CHEMBL5728430,2021,7.06,1,,public_measurement_reformatted
ACT-0027,CHEMBL5832188,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCCCC1,CHEMBL5736732,IC50,=,281,nM,28327307,CHEMBL5728430,2021,6.55,1,,public_measurement_reformatted
ACT-0028,CHEMBL6044246,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(=O)N(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,0.413,uM,28327316,CHEMBL5728430,2021,6.38,0,,public_measurement_reformatted
ACT-0029,CHEMBL5947385,C=CC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,32.3,nM,28327325,CHEMBL5728430,2021,7.49,1,,public_measurement_reformatted
ACT-0030,CHEMBL5976927,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C4CC(N)C4)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,40.6,nM,28327343,CHEMBL5728430,2021,7.39,1,,public_measurement_reformatted
ACT-0031,CHEMBL5881472,Cc1nc2c(C(F)(F)F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,>,3330,nM,28327352,CHEMBL5728430,2021,,1,,public_measurement_reformatted
ACT-0032,CHEMBL6019056,CNC1CC(C(=O)N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,CHEMBL5736732,IC50,=,84.3,nM,28327361,CHEMBL5728430,2021,7.07,1,,public_measurement_reformatted
ACT-0033,CHEMBL5870326,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,122,nM,28327370,CHEMBL5728430,2021,6.91,1,,public_measurement_reformatted
ACT-0034,CHEMBL5976683,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCN(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,54.1,nM,28327379,CHEMBL5728430,2021,7.27,1,,public_measurement_reformatted
ACT-0035,CHEMBL5999796,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,0.71,uM,28327388,CHEMBL5728430,2021,6.15,1,,public_measurement_reformatted
ACT-0036,CHEMBL5774515,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)OCCN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,346,nM,28327397,CHEMBL5728430,2021,6.46,1,,public_measurement_reformatted
ACT-0037,CHEMBL5832698,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,559,nM,28327406,CHEMBL5728430,2021,6.25,1,,public_measurement_reformatted
ACT-0038,CHEMBL5884004,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,91,nM,28327415,CHEMBL5728430,2021,7.04,1,,public_measurement_reformatted
ACT-0039,CHEMBL5894670,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCO)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,2.82e-08,M,28327424,CHEMBL5728430,2021,7.55,1,,public_measurement_reformatted
ACT-0040,CHEMBL5950277,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)NCCO)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,334,nM,28327433,CHEMBL5728430,2021,6.48,1,,public_measurement_reformatted
ACT-0041,CHEMBL5879318,CNCC(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CCC6)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,129,nM,28327442,CHEMBL5728430,2021,6.89,1,,public_measurement_reformatted
ACT-0042,CHEMBL4455210,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,0.7,uM,28327451,CHEMBL5728430,2021,6.16,1,,public_measurement_reformatted
ACT-0043,CHEMBL5883845,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CCC1,CHEMBL5736732,IC50,=,294,nM,28327469,CHEMBL5728430,2021,6.53,0,,public_measurement_reformatted
ACT-0044,CHEMBL5888788,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1CC1CC1,CHEMBL5736732,IC50,=,79.4,nM,28327478,CHEMBL5728430,2021,7.10,1,,public_measurement_reformatted
ACT-0045,CHEMBL5950426,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)N(C)CCN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,364,nM,28327487,CHEMBL5728430,2021,6.44,1,,public_measurement_reformatted
ACT-0046,CHEMBL5856237,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@@H](C)N(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,28.3,nM,28327496,CHEMBL5728430,2021,7.55,1,,public_measurement_reformatted
ACT-0047,CHEMBL4448494,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,47.7,nM,28327505,CHEMBL5728430,2021,7.32,1,,public_measurement_reformatted
ACT-0048,CHEMBL6047483,Cc1nc2c(O)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,>,1020,nM,28327514,CHEMBL5728430,2021,,0,,public_measurement_reformatted
ACT-0049,CHEMBL6014795,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)C4CCCN4)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,>,3.47,uM,28327523,CHEMBL5728430,2021,,1,,public_measurement_reformatted
ACT-0050,CHEMBL5787921,CN[C@H](C)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CC6)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,661,nM,28327532,CHEMBL5728430,2021,6.18,1,,public_measurement_reformatted
ACT-0051,CHEMBL6038282,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)[C@@H]4CCCN4)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,212,nM,28327541,CHEMBL5728430,2021,6.67,0,,public_measurement_reformatted
ACT-0052,CHEMBL4466497,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,5.49e-08,M,28327559,CHEMBL5728430,2021,7.26,1,,public_measurement_reformatted
ACT-0053,CHEMBL5757213,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCCN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,1490,nM,28327568,CHEMBL5728430,2021,5.83,1,,public_measurement_reformatted
ACT-0054,CHEMBL4463716,C#CCN(C)CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,167,nM,28327577,CHEMBL5728430,2021,6.78,1,,public_measurement_reformatted
ACT-0055,CHEMBL5774473,C#CCN1CCC(N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,CHEMBL5736732,IC50,=,110,nM,28327586,CHEMBL5728430,2021,6.96,0,,public_measurement_reformatted
ACT-0056,CHEMBL5754925,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H](O)CN(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,0.371,uM,28327595,CHEMBL5728430,2021,6.43,1,,public_measurement_reformatted
ACT-0057,CHEMBL5872006,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CCCN4C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,317,nM,28327604,CHEMBL5728430,2021,6.50,1,,public_measurement_reformatted
ACT-0058,CHEMBL5972036,C#CCN1CCCC1CN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,74.9,nM,28327613,CHEMBL5728430,2021,7.13,1,,public_measurement_reformatted
ACT-0059,CHEMBL5762588,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(C)(C)N)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,567,nM,28327640,CHEMBL5728430,2021,6.25,1,,public_measurement_reformatted
ACT-0060,CHEMBL5976517,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC#CCN(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,35.5,nM,28327649,CHEMBL5728430,2021,7.45,1,,public_measurement_reformatted
ACT-0061,CHEMBL6007400,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,647,nM,28327658,CHEMBL5728430,2021,6.19,1,,public_measurement_reformatted
ACT-0062,CHEMBL5964401,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc21,CHEMBL5736732,IC50,=,16.5,nM,28327676,CHEMBL5728430,2021,7.78,1,,public_measurement_reformatted
ACT-0063,CHEMBL4462493,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc21,CHEMBL5736732,IC50,=,0.0174,uM,28327685,CHEMBL5728430,2021,7.76,1,,public_measurement_reformatted
ACT-0064,CHEMBL5865665,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)C1CC1,CHEMBL5736732,IC50,=,15,nM,28327694,CHEMBL5728430,2021,7.82,1,,public_measurement_reformatted
ACT-0065,CHEMBL5925248,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,CHEMBL5736732,IC50,=,1.35e-07,M,28327703,CHEMBL5728430,2021,6.87,1,,public_measurement_reformatted
ACT-0066,CHEMBL4550287,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C1CC1,CHEMBL5736732,IC50,=,16.3,nM,28327712,CHEMBL5728430,2021,7.79,1,,public_measurement_reformatted
ACT-0067,CHEMBL5886747,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C1(C)CC1,CHEMBL5736732,IC50,=,10.3,nM,28327721,CHEMBL5728430,2021,7.99,1,,public_measurement_reformatted
ACT-0068,CHEMBL4542247,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1(C)CC1,CHEMBL5736732,IC50,=,16.3,nM,28327730,CHEMBL5728430,2021,7.79,1,,public_measurement_reformatted
ACT-0069,CHEMBL5888813,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC[Si](C)(C)C)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,62.4,nM,28327739,CHEMBL5728430,2021,7.21,1,,public_measurement_reformatted
ACT-0070,CHEMBL5911327,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,0.0285,uM,28327748,CHEMBL5728430,2021,7.54,1,,public_measurement_reformatted
ACT-0071,CHEMBL4463172,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(=N)N)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,16.3,nM,28327757,CHEMBL5728430,2021,7.79,1,,public_measurement_reformatted
ACT-0072,CHEMBL5830076,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,14.3,nM,28327766,CHEMBL5728430,2021,7.84,1,,public_measurement_reformatted
ACT-0073,CHEMBL5869281,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,16.3,nM,28327775,CHEMBL5728430,2021,7.79,1,,public_measurement_reformatted
ACT-0074,CHEMBL5774332,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,10.3,nM,28327784,CHEMBL5728430,2021,7.99,1,,public_measurement_reformatted
ACT-0075,CHEMBL6020156,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C/C=N/O)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,6.02,nM,28327793,CHEMBL5728430,2021,8.22,1,,public_measurement_reformatted
ACT-0076,CHEMBL6031262,C/C(=N/O)N(C)CCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,CHEMBL5736732,IC50,=,15,nM,28327802,CHEMBL5728430,2021,7.82,0,,public_measurement_reformatted
ACT-0077,CHEMBL5755607,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN=C(N)N)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,0.67,uM,28327811,CHEMBL5728430,2021,6.17,0,,public_measurement_reformatted
ACT-0078,CHEMBL4438059,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCCC1,CHEMBL5736732,IC50,=,1.92e-08,M,28327829,CHEMBL5728430,2021,7.72,1,,public_measurement_reformatted
ACT-0079,CHEMBL6013826,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@H]5C)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,23.8,nM,28327838,CHEMBL5728430,2021,7.62,1,,public_measurement_reformatted
ACT-0080,CHEMBL6009610,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@@H]5C)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,31.1,nM,28327847,CHEMBL5728430,2021,7.51,0,,public_measurement_reformatted
ACT-0081,CHEMBL6013826,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)[C@H]5C)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,83.3,nM,28327856,CHEMBL5728430,2021,7.08,1,,public_measurement_reformatted
ACT-0082,CHEMBL4461442,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)P(C)(C)=O)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,135,nM,28327865,CHEMBL5728430,2021,6.87,1,,public_measurement_reformatted
ACT-0083,CHEMBL5950534,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)C[C@@H](C)NC5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,30.7,nM,28327883,CHEMBL5728430,2021,7.51,1,,public_measurement_reformatted
ACT-0084,CHEMBL4438497,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C(N)=S)C5)ncc3F)cc2n1C(C)C,CHEMBL5736732,IC50,=,0.0145,uM,28327892,CHEMBL5728430,2021,7.84,1,,public_measurement_reformatted
ACT-0085,CHEMBL5950534,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)C[C@@H](C)NC5)ncc3F)cc2n1C(C)(C)C,CHEMBL5736732,IC50,=,11.2,nM,28327901,CHEMBL5728430,2021,7.95,1,,public_measurement_reformatted
