example,compound_id,canonical,CDK2_nM,CDK1_nM,ratio,delta_p
12,CX-86095674106ea9645dc303f564019f79097466de44ab0964544704f9eaf218b6,COc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,20.0,2240.0,112.0,2.0492180226701815
23,CX-258e49021abac1e9f1ad4e1beb7ac64e58f875df465959bff367489bc2e46e14,CCOc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,15.0,2430.0,162.0,2.2095150145426308
39,CX-50e2000b801202c9f9a60dcb886334d463b73d0136959fec38cd22a23baacb33,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCCF)ncc2C12CC2,7.0,1200.0,171.42857142857142,2.234083206033368
41,CX-afb355daba5741fcc5a22644cc0bf7d3be4fb06eea779cd7e1660d4d1fd44d38,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)F)ncc2C12CC2,5.0,730.0,146.0,2.164352855784437
56,CX-7f9c703edb36bed8d557609545cbc964813d538c0c5b5430c56454a960a41bcc,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3OCC(F)(F)F)ncc2C12CC2,10.0,800.0,80.0,1.9030899869919435
69,CX-b14aa6db21c8781b6ec8ab24159249feb3657a2d86bae38d7d43574553f113f4,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O[C@H]3CC3(F)F)ncc2C12CC2,6.0,800.0,133.33333333333334,2.1249387366083
70,CX-0378ff3a4e79a56569d097cabcfb229b91166fb0b4b4c254f7ceacd602b88814,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O[C@@H]3CC3(F)F)ncc2C12CC2,6.0,820.0,136.66666666666666,2.135662602000073
77,CX-314e4a602dd6cfe9cc164f84085ad94168fc00e7b778bb89b51b752a0a5241ab,O=C1N([C@@H]2CCC[C@@H](O)C2)c2nc(Nc3c[nH]nc3O)ncc2C12CC2,121.0,5820.0,48.099173553719005,1.6821376143334383
