canonical,CDK1,CDK2,compound_id,connectivity,validation_group,partition,delta_p,delta_lower_bound,ratio,ratio_lower_bound
CSc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,5.274088367704952,7.508638306165727,HC-4dd3ecbe79447d1307a0f09d,CSc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,CSc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,2.234549938460775,,171.61290322580632,
C[C@]1(O)C[C@H](COc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,5.347753658996677,7.275724130399211,HC-eefff8b403ec697177217678,CC1(O)CC(COc2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)C1,C[C@]1(O)C[C@H](COc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)C1,development,1.927970471402534,,84.71698113207546,
Cc1c(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cnn1C,,7.508638306165727,HC-4f389ca3ec30c24d33940bc9,Cc1c(-c2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)cnn1C,Cc1c(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cnn1C,development,,2.508638306165727,,322.58064516129
Cc1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]n1,,5.950781977329818,HC-b0fdf8a04d482f4f42f4b3bd,Cc1cc(Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)[nH]n1,Cc1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)[nH]n1,train,,0.9507819773298181,,8.928571428571422
Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCCC[C@@H](O)C1)C(=O)C21CC1,5.347753658996677,7.3872161432802645,HC-2d0718c2679a9918f84b70f2,Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCCC(O)C1)C(=O)C21CC1,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCCC[C@@H](O)C1)C(=O)C21CC1,train,2.039462484283588,,109.51219512195125,
Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,5.91721462968355,7.7447274948966935,HC-5a536d0bca07fe58c59070f2,Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CCCC(O)C1)C(=O)C21CC1,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@@H]1CCC[C@@H](O)C1)C(=O)C21CC1,train,1.8275128652131434,,67.22222222222213,
Cc1n[nH]cc1Nc1ncc2c(n1)N([C@H]1C[C@H](O)CC(C)(C)C1)C(=O)C21CC1,5.2225731776106885,6.866461091629782,HC-9ca190aed0660d2adc247ebc,Cc1n[nH]cc1Nc1ncc2c(n1)N(C1CC(O)CC(C)(C)C1)C(=O)C21CC1,Cc1n[nH]cc1Nc1ncc2c(n1)N([C@H]1C[C@H](O)CC(C)(C)C1)C(=O)C21CC1,development,1.6438879140190936,,44.0441176470588,
Cn1cc(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,5.221125527997261,7.537602002101044,HC-7d858bf05aaf33907ba08157,Cn1cc(-c2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)cn1,Cn1cc(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,development,2.3164764741037835,,207.24137931034488,
Cn1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,5.812479279163537,7.42021640338319,HC-7aad80e164dd6a9989eb4fcf,Cn1cc(Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)cn1,Cn1cc(Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,development,1.6077371242196525,,40.52631578947365,
Cn1cc(Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,5.5003129173815966,7.267606240177031,HC-ebf98fb38e148327eba73ed9,Cn1cc(Oc2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)cn1,Cn1cc(Oc2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)cn1,development,1.7672933227954344,,58.51851851851839,
Cn1ncc(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)c1C(F)(F)F,,7.055517327849831,HC-34f9af60e80c3405011799c6,Cn1ncc(-c2n[nH]cc2Nc2ncc3c(n2)N(C2CCCC(O)C2)C(=O)C32CC2)c1C(F)(F)F,Cn1ncc(-c2n[nH]cc2Nc2ncc3c(n2)N([C@@H]2CCC[C@@H](O)C2)C(=O)C32CC2)c1C(F)(F)F,train,,2.055517327849831,,113.63636363636351
