scheme,method,target,n,mae,mae_bootstrap_low,mae_bootstrap_high,r2,spearman,median_similarity,bound_n,bound_violations
development,kernel_ridge,CDK1,9,0.26346371447701816,0.17263570418632893,0.35811625642295963,-1.0720518205397167,0.2,0.8133333333333334,2,2
development,kernel_ridge,CDK2,11,0.24031030251631408,0.11366219478074184,0.39509630810154883,-0.17419407474686843,0.4909090909090909,0.8133333333333334,0,0
development,kernel_ridge,delta_p,9,0.23558652585456155,0.16657725244427285,0.3014433162965593,-0.08926247800017295,0.2,0.8133333333333334,2,1
development,median,CDK1,9,0.2219183528140033,0.14935194751581532,0.30051677436795193,-0.44281027428227726,,0.8133333333333334,2,2
development,median,CDK2,11,0.2767161234342602,0.1388009415025591,0.4391114216933858,-0.45321092311049727,,0.8133333333333334,0,0
development,median,delta_p,9,0.2528765197158631,0.17727247002699104,0.3327135067355818,-0.28065613011214685,,0.8133333333333334,2,1
development,nearest3,CDK1,9,0.24208393277660661,0.16014434389363685,0.32948580274291644,-0.7421957596213111,0.4166666666666667,0.8133333333333334,2,2
development,nearest3,CDK2,11,0.3092999582125804,0.18361136535232786,0.46070578543830515,-0.5661249871196521,0.5454545454545454,0.8133333333333334,0,0
development,nearest3,delta_p,9,0.25478558834421006,0.16908650483422363,0.3321413648798522,-0.3061270023954805,0.03333333333333333,0.8133333333333334,2,1
train_group_cv,kernel_ridge,CDK1,36,0.28423376501542985,0.22749129506787183,0.3412792835922376,-0.01857799093474788,0.010812898265300413,0.8286278938452851,13,13
train_group_cv,kernel_ridge,CDK2,49,0.43722168038963755,0.34730908137295174,0.5304252599164969,0.059857551785048035,0.14221179971105524,0.8253968253968254,0,0
train_group_cv,kernel_ridge,delta_p,36,0.15471329675580042,0.12156258929606677,0.1884131836791325,-0.15771202825623565,-0.3001480152942849,0.8286278938452851,13,2
train_group_cv,median,CDK1,36,0.27840811445516195,0.2161148410088676,0.3440046542036398,-0.05962528284961244,-0.2227386127751824,0.8286278938452851,13,13
train_group_cv,median,CDK2,49,0.447926077197571,0.34908534933686514,0.552233973753244,-0.0499725930990762,-0.2288200117641653,0.8253968253968254,0,0
train_group_cv,median,delta_p,36,0.15268630539479897,0.11791655422609854,0.18708105631881689,-0.16179037754540992,-0.4417021909479674,0.8286278938452851,13,1
train_group_cv,nearest3,CDK1,36,0.294899332095624,0.22446746684136573,0.36703051845065987,-0.23867854479537765,0.11096093219867804,0.8286278938452851,13,13
train_group_cv,nearest3,CDK2,49,0.4572229988263558,0.358209044950269,0.5629960903621898,-0.09211407636725433,0.16181726719378905,0.8253968253968254,0,0
train_group_cv,nearest3,delta_p,36,0.17763499372238284,0.13649646672103324,0.22344664835456732,-0.6115253189737335,-0.022395263576846302,0.8286278938452851,13,3
